company_name,domain,qualification_tier,psi_score,primary_edp,processed_timestamp
Sifas,sifas.com,TIER_B_ACTIVE,44.75,EDP8_Technology_Obsolescence,20250909_120500
Designers Guild,designersguild.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_120500
Normann Copenhagen,normann-copenhagen.com,TIER_A_IMMEDIATE,73.3,EDP8_Technology_Obsolescence,20250909_120500
Designers Guild,designersguild.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_120500
RBW,rbw.com,TIER_A_IMMEDIATE,76.5,EDP8_Technology_Obsolescence,20250909_120500
RBW,rbw.com,TIER_A_IMMEDIATE,76.5,EDP8_Technology_Obsolescence,20250909_120500
VISO Lighting,visoinc.com,TIER_B_ACTIVE,48.25,EDP8_Technology_Obsolescence,20250909_120500
CTO Lighting,ctolighting.co.uk,TIER_B_ACTIVE,47.45,EDP8_Technology_Obsolescence,20250909_120500
RBW,rbw.com,TIER_A_IMMEDIATE,76.5,EDP8_Technology_Obsolescence,20250909_120500
B.lux,bluxlighting.com,TIER_B_ACTIVE,62.75,EDP7_Sales_Enablement,20250909_120500
Petite Friture,us.petitefriture.com,TIER_B_ACTIVE,43.0,EDP8_Technology_Obsolescence,20250909_120500
DAVIDE GROPPI,davidegroppi.com,TIER_B_ACTIVE,47.75,EDP8_Technology_Obsolescence,20250909_120500
Santa & Cole,santacole.com,TIER_B_ACTIVE,53.9,EDP8_Technology_Obsolescence,20250909_120500
PERRY LUXE,perryluxe.com,TIER_A_IMMEDIATE,75.3,EDP8_Technology_Obsolescence,20250909_120500
UMAGE,umage.com,TIER_B_ACTIVE,46.25,EDP8_Technology_Obsolescence,20250909_120500
PERRY LUXE,perryluxe.com,TIER_A_IMMEDIATE,75.3,EDP8_Technology_Obsolescence,20250909_120500
Piet Boon,pietboon.com,TIER_B_ACTIVE,50.6,EDP8_Technology_Obsolescence,20250909_120500
Santa & Cole,santacole.com,TIER_B_ACTIVE,53.9,EDP8_Technology_Obsolescence,20250909_120500
Santa & Cole,santacole.com,TIER_B_ACTIVE,53.9,EDP8_Technology_Obsolescence,20250909_120500
Estiluz,estiluz.com,TIER_A_IMMEDIATE,74.5,EDP8_Technology_Obsolescence,20250909_120500
Santa & Cole,santacole.com,TIER_B_ACTIVE,53.9,EDP8_Technology_Obsolescence,20250909_120500
Stilnovo,stilnovo.com,TIER_B_ACTIVE,44.65,EDP8_Technology_Obsolescence,20250909_120500
ELA,ela-lighting.com,TIER_A_IMMEDIATE,75.2,EDP7_Sales_Enablement,20250909_120500
Leucos,leucos.com,TIER_B_ACTIVE,45.65,EDP8_Technology_Obsolescence,20250909_120500
TOOY,tooy.it,TIER_B_ACTIVE,44.65,EDP8_Technology_Obsolescence,20250909_120500
Solais Lighting,solais.com,TIER_B_ACTIVE,49.0,EDP8_Technology_Obsolescence,20250909_114420
Finelite,finelite.com,TIER_B_ACTIVE,64.75,EDP7_Sales_Enablement,20250909_114420
Solais Lighting,solais.com,TIER_B_ACTIVE,49.0,EDP8_Technology_Obsolescence,20250909_114420
Keystone Lighting,keystonetech.com,TIER_A_IMMEDIATE,71.0,EDP8_Technology_Obsolescence,20250909_114420
Lutron,lutron.com,TIER_B_ACTIVE,63.45,EDP7_Sales_Enablement,20250909_114420
